product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/21/1571/001	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/002	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/003	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/004	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/005	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/006	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/007	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/008	1593813	abiraterone acetate 500 MG Oral Tablet	1918042	EXACT			2026-02-17
EU/1/21/1571/009	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/010	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/011	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/012	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/013	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/014	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/015	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
EU/1/21/1571/016	36955180	abiraterone 1000 MG Oral Tablet	OMOP5193810	EXACT			2026-02-17
