ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/05/327/001	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit blister (PVC/Alu)	30 x 1 blisters (1 pouch)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/002	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PrVC/Alu)	60 x 1 blisters (2 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/003	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perfoorated unit dose blister (PVC/Alu)	90 x 1 blisters (3 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/004	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	180 x 1 blisters (6 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/005	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose (PVC/Alu)	270 x 1 blisters (9 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/006	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	60 x 1 blisters (2 pouches) + 2 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/007	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	270 x 1 blisters (9 pouches) + 6 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/008	EMEA/H/C/000588	1 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	90 x 1 blisters (3 pouches) + 1 inhalation kit*		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/009	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	30 x 1 blisters (1 pouch)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/010	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	60 x 1 blisters (2 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/011	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	90 x 1 blisters (3 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/012	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	180 x 1 blisters (6 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/013	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispednsed	Inhalation use	perforated unit dose blister (PVC/Alu)	270 x 1 blisters (9 pouches)		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/014	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	60 x 1 blisters (2 pouches) + 2 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/015	EMEA/H/C/000588	3 mg	powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	90 x 1 blisters (3 pouches) + 2 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/016	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	180 x 1 blisters (6 pouches) + 2 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/017	EMEA/H/C/000588	3 mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	270 x 1 blisters (9 pouches) + 6 IRUs		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
EU/1/05/327/018	EMEA/H/C/000588	mg	Inhalation powder, pre- dispensed	Inhalation use	perforated unit dose blister (PVC/Alu)	90 x 1 blisters (3 pouches) + 1 inhalation kit*		exubera	Exubera	EU/1/05/327	Insulin human	insulin human	A10AF01	Pfizer Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exubera	Withdrawn
