product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
22-0113-05	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N20	20
22-0113-06	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N24	24
22-0113-07	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N28	28
22-0113-08	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N30	30
22-0113-09	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N32	32
22-0113-10	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N36	36
22-0113-11	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N48	48
22-0113-12	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PVDC/Al blister, N96	96
22-0113-13	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N10	10
22-0113-14	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N12	12
22-0113-15	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N16	16
22-0113-16	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N18	18
22-0113-17	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N20	20
22-0113-18	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N24	24
22-0113-19	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
22-0113-20	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
22-0113-21	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N32	32
22-0113-22	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N36	36
22-0113-23	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N48	48
22-0113-24	Ibuprofen Catalent 400 mg soft capsules	22-0113	05-JUL-22	NL/H/5256/002	400 mg	Capsule, soft	400 mg	Carton box, PVC/PE/PVDC/Al blister, N96	96
