product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/06/356/001	Exjade	EU/1/06/356/001	28-AUG-06	EMEA/H/C/000670	125 mg	Dispersible tablet	125 mg	PVDC/PE/PVC/Al blister, N28	28
EU/1/06/356/002	Exjade	EU/1/06/356/002	28-AUG-06	EMEA/H/C/000670	125 mg	Dispersible tablet	125 mg	PVDC/PE/PVC/Al blister, N84	84
EU/1/06/356/003	Exjade	EU/1/06/356/003	28-AUG-06	EMEA/H/C/000670	250 mg	Dispersible tablet	250 mg	PVDC/PE/PVC/Al blister, N28	28
EU/1/06/356/004	Exjade	EU/1/06/356/004	28-AUG-06	EMEA/H/C/000670	250 mg	Dispersible tablet	250 mg	PVDC/PE/PVC/Al blister, N84	84
EU/1/06/356/005	Exjade	EU/1/06/356/005	28-AUG-06	EMEA/H/C/000670	500 mg	Dispersible tablet	500 mg	PVDC/PE/PVC/Al blister, N28	28
EU/1/06/356/006	Exjade	EU/1/06/356/006	28-AUG-06	EMEA/H/C/000670	500 mg	Dispersible tablet	500 mg	PVDC/PE/PVC/Al blister, N84	84
EU/1/06/356/007	Exjade	EU/1/06/356/007	17-DEC-08	EMEA/H/C/000670	125 mg	Dispersible tablet	125 mg	PVDC/PE/PVC/Al blister, N252	252
EU/1/06/356/008	Exjade	EU/1/06/356/008	17-DEC-08	EMEA/H/C/000670	250 mg	Dispersible tablet	250 mg	PVDC/PE/PVC/Al blister, N252	252
EU/1/06/356/009	Exjade	EU/1/06/356/009	17-DEC-08	EMEA/H/C/000670	500 mg	Dispersible tablet	500 mg	PVDC/PE/PVC/Al blister, N252	252
EU/1/06/356/010	Exjade	EU/1/06/356/010	28-AUG-06	EMEA/H/C/000670	500 mg	Dispersible tablet	500 mg	PVDC/PE/PVC/Al blister, N294	294
EU/1/06/356/011	Exjade	EU/1/06/356/011	28-AUG-06	EMEA/H/C/000670	90 mg	Film-coated tablet	90 mg	PVC/PVDC/Al blister, N30	30
EU/1/06/356/012	Exjade	EU/1/06/356/012	28-AUG-06	EMEA/H/C/000670	90 mg	Film-coated tablet	90 mg	PVC/PVDC/Al blister, N90	90
EU/1/06/356/013	Exjade	EU/1/06/356/013	28-AUG-06	EMEA/H/C/000670	90 mg	Film-coated tablet	90 mg	PVC/PVDC/Al blister, N300	300
EU/1/06/356/014	Exjade	EU/1/06/356/014	28-AUG-06	EMEA/H/C/000670	180 mg	Film-coated tablet	180 mg	PVC/PVDC/Al blister, N30	30
EU/1/06/356/015	Exjade	EU/1/06/356/015	28-AUG-06	EMEA/H/C/000670	180 mg	Film-coated tablet	180 mg	PVC/PVDC/Al blister, N90	90
EU/1/06/356/016	Exjade	EU/1/06/356/016	28-AUG-06	EMEA/H/C/000670	180 mg	Film-coated tablet	180 mg	PVC/PVDC/Al blister, N300	300
EU/1/06/356/017	Exjade	EU/1/06/356/017	28-AUG-06	EMEA/H/C/000670	360 mg	Film-coated tablet	360 mg	PVC/PVDC/Al blister, N30	30
EU/1/06/356/018	Exjade	EU/1/06/356/018	28-AUG-06	EMEA/H/C/000670	360 mg	Film-coated tablet	360 mg	PVC/PVDC/Al blister, N90	90
EU/1/06/356/019	Exjade	EU/1/06/356/019	28-AUG-06	EMEA/H/C/000670	360 mg	Film-coated tablet	360 mg	PVC/PVDC/Al blister, N300	300
EU/1/06/356/020	Exjade	EU/1/06/356/020	28-AUG-06	EMEA/H/C/000670	90 mg	Granules	90 mg	PET/Al/PE sachet, N30	30
EU/1/06/356/021	Exjade	EU/1/06/356/021	28-AUG-06	EMEA/H/C/000670	180 mg	Granules	180 mg	PET/Al/PE sachet, N30	30
EU/1/06/356/022	Exjade	EU/1/06/356/022	28-AUG-06	EMEA/H/C/000670	360 mg	Granules	360 mg	PET/Al/PE sachet, N30	30
