ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/10/616/001	EMEA/H/C/001127	5 mg	Capsule, hard	Oral use	bottle (glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/002	EMEA/H/C/001127	5 mg	Capsule, hard	Oral use	bottles (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/005	EMEA/H/C/001127	20 mg	Capsule, hard	Oral use	bottile (glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/006	EMEA/H/C/001127	20 mg	Capsule, hard	Oral use	obottle (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/009	EMEA/H/C/001127	100 mg	Capsule, hard	Oral use	bottle (glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/010	EMEA/H/C/001127	100 mg	Capsule, hard	Oral use	bottle (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/013	EMEA/H/C/001127	140 mg	Capsule, hard	Oral use ubottle	(glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/014	EMEA/H/C/001127	140 mg	Capsule, hard	Oral use	bottle (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/017	EMEA/H/C/001127	180 mg	Capsule, hard	Oral use	bottle (glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/018	EMEA/H/C/001127	180 mg	Capsule, hard	Oral use	bottle (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/021	EMEA/H/C/001127	250 mg	Capsule, hard	Oral uese	bottle (glass) 5 capsules			temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/022	EMEA/H/C/001127	250 mg	Capsule, hard	Oral use	bottle (glass) 20	capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/025	EMEA/H/C/001127	5 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 5 x	1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/026	EMEA/H/C/001127	5 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/027	EMEA/H/C/001127	20 mg	Capsule, hard	use	Sachet (PET/alu/PE) 5 x	1capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/028	EMEA/H/C/001127	20 mg	Capsule, hard	use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/029	EMEA/H/C/001127	100 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 5 x	1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/030	EMEA/H/C/001127	100 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/031	EMEA/H/C/001127	140 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 5 x	1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/032	EMEA/H/C/001127	140 mg	Capsule, hartd	Oral use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/033	EMEA/H/C/001127	180 mg	Capsule,	Oral use	Sachet (PET/alu/PE) 5 x	1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/034	EMEA/H/C/001127	180 mg	Capsulue, hard	Oral use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/035	EMEA/H/C/001127	250 mg	Capdsule, hard	Oral use	Sachet (PET/alu/PE) 5 x	1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/036	EMEA/H/C/001127	250 mg	Capsule, hard	Oral use	Sachet (PET/alu/PE) 20	x 1 capsule (unit dose)		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/037	EMEA/H/C/001127	5 mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/038	EMEA/H/C/001127	20 mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/039	EMEA/H/C/001127	100a mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/040	EMEA/H/C/001127	140 mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/041	EMEA/H/C/001127	180 mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Hexail Temozolomide	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
EU/1/10/616/042	EMEA/H/C/001127	250 mg	Capsule, hard	Oral use	bottle (glass) 20 (multipack)	(4 x 5) capsules		temozolomide-hexal	Temozolomide Hexal	EU/1/10/616	temozolomide	temozolomide	L01AX03	Hexal AG	https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-hexal	Withdrawn
